All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Jockeys - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Jockey Name,Starts,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3,Top 3 %,Racing Year
Mike E. Smith,166,53,23,26,"$18,285,718 ","$110,155 ",32%,102,61%,2017
Jose L. Ortiz,725,137,142,125,"$16,385,129 ","$22,600 ",19%,404,56%,2017
Javier Castellano,564,96,116,81,"$13,647,192 ","$24,197 ",17%,293,52%,2017
John R. Velazquez,428,128,62,55,"$13,381,883 ","$31,266 ",30%,245,57%,2017
"Irad Ortiz, Jr.",924,210,179,148,"$13,224,152 ","$14,312 ",23%,537,58%,2017
Florent Geroux,547,99,76,83,"$9,308,348 ","$17,017 ",18%,258,47%,2017
Manuel Franco,848,134,120,127,"$8,402,983 ","$9,909 ",16%,381,45%,2017
Luis Contreras,852,163,136,124,"$7,939,272 ","$9,318 ",19%,423,50%,2017
Luis Saez,679,124,95,107,"$7,917,154 ","$11,660 ",18%,326,48%,2017
Joel Rosario,415,68,66,78,"$7,823,621 ","$18,852 ",16%,212,51%,2017
"Ricardo Santana, Jr.",753,134,136,90,"$7,512,183 ","$9,976 ",18%,360,48%,2017
Flavien Prat,440,93,71,68,"$7,439,363 ","$16,908 ",21%,232,53%,2017
Corey J. Lanerie,871,165,134,147,"$6,925,164 ","$7,951 ",19%,446,51%,2017
Julien R. Leparoux,382,65,53,55,"$6,573,929 ","$17,209 ",17%,173,45%,2017
Ramon A. Vazquez,"1,078",260,184,157,"$6,466,633 ","$5,999 ",24%,601,56%,2017
"Brian Joseph Hernandez, Jr.",592,103,105,85,"$6,212,534 ","$10,494 ",17%,293,49%,2017
Paco Lopez,564,118,84,83,"$6,023,017 ","$10,679 ",21%,285,51%,2017
Eurico Rosa Da Silva,615,151,144,89,"$5,859,290 ","$9,527 ",25%,384,62%,2017
Kendrick Carmouche,618,105,87,70,"$5,518,066 ","$8,929 ",17%,262,42%,2017
