All data provided by EQUIBASE -  http://www.equibase.com/,,,,,,,,,,
North American Thoroughbred Racing Starters - Trainer - Dirt/All Weather Surfaces,,,,,,,,,,
,,,,,,,,,,
Trainer Name,Starts,Starters,1st,2nd,3rd,Total $,Per Start $,Win %,Top 3 %,Racing Date
Bob Baffert,283,109,82,56,33,"$20,955,662 ","$74,048 ",29%,60%,2017
Todd A. Pletcher,683,243,179,121,101,"$18,242,427 ","$26,709 ",26%,59%,2017
Steven M. Asmussen,"1,467",445,302,257,209,"$17,438,222 ","$11,887 ",21%,52%,2017
Chad C. Brown,274,117,68,60,46,"$9,645,867 ","$35,204 ",25%,64%,2017
Mark E. Casse,670,255,130,114,86,"$9,388,629 ","$14,013 ",19%,49%,2017
Jerry Hollendorfer,747,218,142,136,116,"$7,931,938 ","$10,618 ",19%,53%,2017
Doug F. O'Neill,426,155,69,64,52,"$6,468,005 ","$15,183 ",16%,43%,2017
Rudy R. Rodriguez,600,196,129,109,87,"$5,818,874 ","$9,698 ",22%,54%,2017
Karl Broberg,"1,606",443,381,261,240,"$5,574,053 ","$3,471 ",24%,55%,2017
Jorge Navarro,359,107,113,56,63,"$5,393,364 ","$15,023 ",31%,65%,2017
Linda Rice,434,164,125,79,65,"$5,039,209 ","$11,611 ",29%,62%,2017
Peter Miller,375,131,82,64,55,"$4,608,985 ","$12,291 ",22%,54%,2017
James A. Jerkens,104,29,21,23,16,"$4,550,999 ","$43,760 ",20%,58%,2017
Robertino Diodoro,793,273,192,133,108,"$4,533,898 ","$5,717 ",24%,55%,2017
Brad H. Cox,423,181,99,69,61,"$4,077,210 ","$9,639 ",23%,54%,2017
William I. Mott,248,115,40,41,35,"$3,926,304 ","$15,832 ",16%,47%,2017
Kiaran P. McLaughlin,293,86,44,43,39,"$3,905,656 ","$13,330 ",15%,43%,2017
John C. Servis,416,109,87,69,60,"$3,557,652 ","$8,552 ",21%,52%,2017
Jeremiah C. Englehart,679,173,183,102,105,"$3,523,652 ","$5,189 ",27%,57%,2017
W. Bret Calhoun,513,177,109,86,67,"$3,424,910 ","$6,676 ",21%,51%,2017
Kenneth G. McPeek,333,102,44,45,63,"$3,367,290 ","$10,112 ",13%,46%,2017
Ron Moquett,487,120,61,73,57,"$3,318,159 ","$6,813 ",13%,39%,2017
David Jacobson,373,114,74,66,65,"$3,237,987 ","$8,681 ",20%,55%,2017
Dallas Stewart,114,37,20,9,21,"$3,149,222 ","$27,625 ",18%,44%,2017
John W. Sadler,206,62,39,35,32,"$3,036,185 ","$14,739 ",19%,51%,2017
Federico Villafranco,531,140,133,94,75,"$3,002,283 ","$5,654 ",25%,57%,2017
Ralph E. Nicks,232,96,42,33,37,"$2,999,653 ","$12,930 ",18%,48%,2017
Patricia Farro,637,148,106,108,85,"$2,981,560 ","$4,681 ",17%,47%,2017
Jason Servis,207,92,60,31,34,"$2,942,711 ","$14,216 ",29%,60%,2017
Chris J. Englehart,659,144,153,108,102,"$2,938,287 ","$4,459 ",23%,55%,2017
Jeffrey A. Radosevich,788,161,157,123,116,"$2,918,348 ","$3,703 ",20%,50%,2017
Justin R. Evans,692,155,196,141,97,"$2,888,665 ","$4,174 ",28%,63%,2017
Dale L. Romans,250,88,48,30,36,"$2,886,181 ","$11,545 ",19%,46%,2017
Joe Sharp,239,113,48,37,25,"$2,885,761 ","$12,074 ",20%,46%,2017
H. Graham Motion,225,107,47,37,34,"$2,870,040 ","$12,756 ",21%,52%,2017
Timothy C. Kreiser,507,87,134,113,89,"$2,818,415 ","$5,559 ",26%,66%,2017
Thomas M. Amoss,408,141,106,74,68,"$2,809,951 ","$6,887 ",26%,61%,2017
Jeff C. Runco,604,135,161,123,99,"$2,743,604 ","$4,542 ",27%,63%,2017
Todd W. Fincher,412,80,101,75,67,"$2,731,278 ","$6,629 ",25%,59%,2017
Charlton Baker,333,79,79,58,59,"$2,719,214 ","$8,166 ",24%,59%,2017
Scott A. Lake,639,154,123,105,88,"$2,717,555 ","$4,253 ",19%,49%,2017
Claudio A. Gonzalez,429,99,112,71,66,"$2,707,126 ","$6,310 ",26%,58%,2017
Philip D'Amato,217,98,45,45,21,"$2,697,129 ","$12,429 ",21%,51%,2017
"Albert M. Stall, Jr.",252,84,74,40,40,"$2,656,153 ","$10,540 ",29%,61%,2017
Michael J. Maker,432,196,90,67,47,"$2,574,444 ","$5,959 ",21%,47%,2017
Ian R. Wilkes,261,92,33,42,43,"$2,522,298 ","$9,664 ",13%,45%,2017
Michelle Nevin,220,84,46,30,35,"$2,426,759 ","$11,031 ",21%,50%,2017
Antonio Sano,385,89,56,56,64,"$2,404,735 ","$6,246 ",15%,46%,2017
Kieron Magee,449,136,119,79,64,"$2,351,080 ","$5,236 ",27%,58%,2017
Brendan P. Walsh,200,82,40,36,25,"$2,281,796 ","$11,409 ",20%,51%,2017
Robert M. Gorham,628,108,93,92,99,"$2,243,683 ","$3,573 ",15%,45%,2017
Michael J. Trombetta,402,119,62,72,72,"$2,186,472 ","$5,439 ",15%,51%,2017
Timothy E. Hamm,479,84,77,76,68,"$2,168,125 ","$4,526 ",16%,46%,2017
Henry Dominguez,547,104,109,92,75,"$2,028,852 ","$3,709 ",20%,50%,2017
J. R. Caldwell,546,160,95,80,54,"$1,982,602 ","$3,631 ",17%,42%,2017
Keith Nations,303,80,55,52,59,"$1,960,021 ","$6,469 ",18%,55%,2017
Simon Callaghan,87,28,25,12,15,"$1,924,701 ","$22,123 ",29%,60%,2017
Larry Rivelli,297,98,96,44,47,"$1,910,354 ","$6,432 ",32%,63%,2017
Kelly J. Breen,204,57,34,31,32,"$1,894,255 ","$9,286 ",17%,48%,2017
"Robert B. Hess, Jr.",144,63,22,27,15,"$1,879,260 ","$13,050 ",15%,44%,2017
Danny Pish,526,164,99,105,86,"$1,851,937 ","$3,521 ",19%,55%,2017
